"","checklist_id","global_unique_identifier","last_edited_date","taxonomic_order","category","common_name","scientific_name","observation_count","breeding_bird_atlas_code","breeding_bird_atlas_category","age_sex","country","country_code","state","state_code","county","county_code","iba_code","bcr_code","usfws_code","atlas_block","locality","locality_id","locality_type","latitude","longitude","observation_date","time_observations_started","observer_id","sampling_event_identifier","protocol_type","protocol_code","project_code","duration_minutes","effort_distance_km","effort_area_ha","number_observers","all_species_reported","group_identifier","has_media","approved","reviewed","reason","trip_comments","species_comments"
"11","S18297911","URN:CornellLabOfOrnithology:EBIRD:OBS251930072","2020-05-29 21:58:29",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-05,"05:30:00","obsr412230","S18297911","Traveling","P22","EBIRD",690,8,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Hit the trails by 05h30, walking the Mirante (or as I had called it, the 5k trail) trail. A nice trail, but not terribly active in comparison to bird activity on the preceding days, and quite hot and quiet by 10h30. We walked about 3km before cutting to the river's edge where a boat was waiting for us. Back a little before noon. Early afternoon spent around the lodge with Edson Endrigo and the principals of World Wildlife Images. Left to head upriver by 15h30 to look for Bamboo Antshrike. Sansão wanted to check out a picada on the left bank of the Roosevelt upstream from the mouth of the Madeirinha, and after I get a single photo of a Dwarf Tyrant-Manakin the skies opened, soaking us.","HO"
"12","S18294477","URN:CornellLabOfOrnithology:EBIRD:OBS251871010","2020-09-03 10:20:36",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-02,"05:40:00","obsr412230","S18294477","Traveling","P22","EBIRD",740,10,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Birds recorded on the Trilha Ronca (ca. 20 minutes upstream from the lodge on the right bank of the Roosevelt), which I birded until 12h30. I reached the far side of a higher, flat area past the creek which the trail follows, before turning back - the trail is roughly 3.5 km long and has fantastic birding potential.----After lunch at the lodge I took a walk on my own on the trail to the tower and all the way to the head of the airstrip, which I followed back to the lodge.","photographed on the Ronca trail"
"13","S18314485","URN:CornellLabOfOrnithology:EBIRD:OBS252224287","2020-09-03 10:18:07",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-09,"05:30:00","obsr412230","S18314485","Incidental","P20","EBIRD_CAN",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide) in morning, then together with Sansão, Semí, and Edson Endrigo and his group in the afternoon. Distances traveled not certain, thus the list is being recorded as incidental. ----Back to the Trilha da Ronca this morning, some 25 minutes upstream on the Roosevelt. Walked its entire length (ca. 3km) and back, all was rather quiet. Then in the afternoon joined up with Edson to walk the Trilha do Socó.","HO"
"14","S18298608","URN:CornellLabOfOrnithology:EBIRD:OBS251946755","2020-09-03 10:17:42",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-06,"05:30:00","obsr412230","S18298608","Incidental","P20","EBIRD",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Distance covered wasn't recorded, so the list is being entered as incidental. Santa Maria trail (upstream on the right bank of the Roosevelt) in the morning, then the lodge clearing and the Madeirinha river in the afternoon.","HO"
"15","S18297023","URN:CornellLabOfOrnithology:EBIRD:OBS251914920","2021-02-22 10:01:30.348404",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-03,"05:30:00","obsr412230","S18297023","Traveling","P22","EBIRD",750,10,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). The usual schedule. We headed downstream today to the Trilha da Esperança, which we birded from 05h45 to 12h30, reaching perhaps 200m beyond the big leafcutter ant colony. We spent a good part of the early morning around the dry igarapé working a Zigzag Heron (actually 3 or more birds), trying to digi-scope the birds. In the afternoon we tried upstream by boat, checking out the arm of the river just above the airstrip where there was a dead pirarara attracting vultures. Then it was up to the meeting of the Madeirinha and the Roosevelt, and then to the mouth of a lagoon - a short distance upstream from there is the spot for Bamboo Antshrike, in high tangles of slender vines, but the bird wasn't home. Back at the lodge by 18h00.","HO"
"16","S18302033","URN:CornellLabOfOrnithology:EBIRD:OBS252010582","2020-05-29 21:54:35",12309,"species","Kawall's Parrot","Amazona kawalli","20",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2008-11-08,"05:35:00","obsr412230","S18302033","Traveling","P22","EBIRD",745,20,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Sansão (local guide). Left by 05h35 en route to the large saleiro/barreiro below the Cachoeira do Inferninho, which we birded from 06h15 to 11h30. A good selection of mammals, and some nice views of some parrtos coming down to ingest minerals. After the afternoon rain (to 16h00), we birded the track to the upstream port, and I checked out the airstrip for a bit.","in the canopy around the barreiro below the Inferninho rapids"
"17","S21579363","URN:CornellLabOfOrnithology:EBIRD:OBS293711022","2020-01-18 12:42:32",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Amazon Tupana Lodge","L3323946","H",-4.1815364,-60.7750017,2008-12-15,NA,"obsr412230","S21579363","Historical","P62","EBIRD",NA,NA,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Rolph, Joan, and Jessica Davis.",NA
"18","S18235013","URN:CornellLabOfOrnithology:EBIRD:OBS250840589","2020-05-29 21:58:29",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2010-02-20,"14:40:00","obsr412230","S18235013","Incidental","P20","EBIRD_CAN",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Rolph Davis. Checklist includes observations during a downstream boat ride in the morning nearly as far as the Perneta trail (before drive back to the lodge by rain, which extended through the rest of the morning), then along the Jacu trail to the landing strip in the afternoon from 14h40 to 19h00.","HO"
"19","S18814752","URN:CornellLabOfOrnithology:EBIRD:OBS260099059","2020-09-03 10:17:20",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2010-02-24,"05:30:00","obsr412230","S18814752","Incidental","P20","EBIRD_CAN",NA,NA,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Rolph Davis and Semí. Birded the Trilha do Ouro in the morning, and took a boat trip up the Rio Roosevelt in the afternoon (which Joan Davis joined us on).",NA
"20","S18245243","URN:CornellLabOfOrnithology:EBIRD:OBS251016915","2020-09-03 10:17:42",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2010-02-21,"06:20:00","obsr412230","S18245243","Incidental","P20","EBIRD_CAN",NA,NA,NA,2,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Rolph Davis. Left the lodge at 06h20 upstream to the Pirarara trail on the right bank of the Madeirinha river, returning to the lodge by 12h00. Later we birded along the Esperança creek from 16h15 to 18h05.",NA
"21","S50619834","URN:CornellLabOfOrnithology:EBIRD:OBS685224357","2021-02-22 10:01:34.007071",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2010-04-12,"06:00:00","obsr601274","S50619834","Historical","P62","EBIRD",720,NA,NA,5,TRUE,NA,FALSE,TRUE,FALSE,NA,"Trilha do Perneta e margem do rio - manhã; Trilha da Torre à tarde",NA
"22","S50642919","URN:CornellLabOfOrnithology:EBIRD:OBS685523591","2020-09-03 10:17:20",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2010-04-13,"05:30:00","obsr601274","S50642919","Historical","P62","EBIRD",NA,NA,NA,6,TRUE,NA,FALSE,TRUE,FALSE,NA,"Rio Roosevelt acima da confluência com o rio Madeirinhas nas Trilhas do Ronca e do Ouro",NA
"23","S51376866","URN:CornellLabOfOrnithology:EBIRD:OBS694579807","2021-02-22 10:06:32.851307",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt--margem oeste","L8245717","H",-8.4615094,-60.9659433,2010-04-15,"06:00:00","obsr601274","S51376866","Historical","P62","EBIRD",NA,NA,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,"dia todo. Trilha do Ouro",NA
"24","S50642288","URN:CornellLabOfOrnithology:EBIRD:OBS685516514","2021-03-29 12:27:09.068631",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt -- Rio Madeirinha and Campina","L4460509","H",-8.5981365,-61.0074234,2010-04-14,"05:30:00","obsr601274","S50642288","Historical","P62","EBIRD",NA,NA,NA,6,TRUE,NA,FALSE,TRUE,FALSE,NA,"Trilha da Campina e Trilha da Pirarara, todo o dia até o final da tarde",NA
"25","S28756340","URN:CornellLabOfOrnithology:EBIRD:OBS388600206","2020-05-16 12:00:14",12309,"species","Kawall's Parrot","Amazona kawalli","4",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2010-06-20,"06:30:00","obsr634999","S28756340","Traveling","P22","EBIRD",480,6,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"With Edson Endrigo, Ivan and Lina Sjögren","Ronca trail. Seen well, even if high up in the canopy."
"26","S64975531","URN:CornellLabOfOrnithology:EBIRD:OBS869782334","2020-02-25 11:04:12",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt (-8.4943, -60.9623)","L10615329","P",-8.4943,-60.9623,2010-06-20,NA,"obsr1313465","S64975531","Historical","P62","EBIRD",NA,NA,NA,NA,FALSE,NA,TRUE,TRUE,FALSE,NA,NA,NA
"27","S19524949","URN:CornellLabOfOrnithology:EBIRD:OBS268429029","2018-08-22 10:51:11",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Tupana Lodge","L2838710","H",-4.0736391,-60.6699666,2010-10-10,"05:00:00","obsr412230","S19524949","Incidental","P20","EBIRD_CAN",NA,NA,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"Birds recorded at Tupana Lodge, mostly along the main trail in palm-dominated terra firme forest. Incidental as no distances or times recorded. With Duncan Ritchie, John Hopkins, Bill Porteous.",NA
"28","S19525070","URN:CornellLabOfOrnithology:EBIRD:OBS268430742","2020-05-25 16:27:11",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Tupana Lodge","L2838710","H",-4.0736391,-60.6699666,2010-10-11,"05:00:00","obsr412230","S19525070","Incidental","P20","EBIRD_CAN",NA,NA,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"Birds recorded during a full day's birding at Tupana Lodge.",NA
"29","S18932044","URN:CornellLabOfOrnithology:EBIRD:OBS261551101","2020-09-03 10:19:34",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2011-07-30,"05:30:00","obsr412230","S18932044","Incidental","P20","EBIRD_CAN",NA,NA,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with David and Jane Styer, Semí. Data entered reflects a day list from the lodge, and thus is entered as incidental as effort information not available.","HO"
"30","S8630224","URN:CornellLabOfOrnithology:EBIRD:OBS123717040","2021-02-22 10:00:37.906349",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Barra de Sao Manoel","L1245183","P",-7.346401,-58.1597328,2011-07-15,"05:00:00","obsr51707","S8630224","Traveling","P22","EBIRD",360,3.219,NA,1,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"31","S18937041","URN:CornellLabOfOrnithology:EBIRD:OBS261614359","2021-02-22 10:01:31.085847",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2011-08-01,"05:30:00","obsr412230","S18937041","Incidental","P20","EBIRD_CAN",NA,NA,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with David and Jane Styer, Semí from the lodge. Effort information not available, list entered as an incidental day list from the lodge area.","HO"
"32","S33457970","URN:CornellLabOfOrnithology:EBIRD:OBS454609454","2021-02-22 10:05:41.441342",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Região de Autazes, Baixo Madeira","L5224018","P",-3.5085379,-58.9737082,2013-10-23,NA,"obsr620877","S33457970","Historical","P62","EBIRD",NA,NA,NA,NA,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"33","S33480136","URN:CornellLabOfOrnithology:EBIRD:OBS454853160","2021-02-22 10:05:41.111719",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Região de Autazes, Baixo Madeira","L5224018","P",-3.5085379,-58.9737082,2014-05-09,NA,"obsr620877","S33480136","Historical","P62","EBIRD",NA,NA,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
"34","S18848713","URN:CornellLabOfOrnithology:EBIRD:OBS260564052","2020-05-28 16:22:59",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2014-06-08,"06:15:00","obsr412230","S18848713","Traveling","P22","EBIRD",370,1.5,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Alan Bolten, Karen Bjorndal, Semí (local guide). Birds recorded on the Pirarara trail (right bank of the Madeirinha), which we birded to past the section where one passes some large rocks on the right hand side of the trail, to just past the first large Brazilnut tree.","HO"
"35","S18847196","URN:CornellLabOfOrnithology:EBIRD:OBS260543335","2020-09-03 10:18:07",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2014-06-08,"15:45:00","obsr412230","S18847196","Traveling","P22","EBIRD",150,7.3,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Karen Bjorndal, Alan Bolten, Semí (local guide). Birds recorded downstream on the Rio Roosevelt from the lodge to the small island below the Cachoeira da Gloria -- we took a quiet arm of the Roosevelt, a lovely narrow (ca. 40m) section of river flanked by tall forest, located just below the Cach. da Glória.","HO"
"36","S19068662","URN:CornellLabOfOrnithology:EBIRD:OBS263301047","2020-05-30 09:27:42",12309,"species","Kawall's Parrot","Amazona kawalli","X",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2014-06-10,"06:50:00","obsr412230","S19068662","Traveling","P22","EBIRD_CAN",25,1.4,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Alan Bolten, Karen Bjorndal, Semí from lodge. Birds observed from the boat as we traveled up the Igarapé Cujubim from its mouth to the trailhead for the Campinas do Cujubim trail.","heard only, but certainly more than just a single pair. As we were to find at the campinas, the species is remarkably common along the Cujubim."
"37","S18923861","URN:CornellLabOfOrnithology:EBIRD:OBS261446650","2020-05-30 09:27:42",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2014-06-10,"05:38:00","obsr412230","S18923861","Traveling","P22","EBIRD_CAN",67,28.8,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Alan Bolten, Karen Bjorndal, Semí from Pousada Rio Roosevelt. Birds recorded on the boat trip upstream on the Roosevelt from the lodge's upstream port to the mouth of the Igarapé Cujubim.",NA
"38","S18811941","URN:CornellLabOfOrnithology:EBIRD:OBS260060674","2020-09-03 10:17:42",12309,"species","Kawall's Parrot","Amazona kawalli","2",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2014-06-07,"06:50:00","obsr412230","S18811941","Stationary","P21","EBIRD_CAN",280,NA,NA,4,TRUE,NA,FALSE,TRUE,FALSE,NA,"with Alan Bolten and Karen Bjorndal, Semí (local guide). Birds recorded at the barreiro (clay lick) inside the forest downstream from the Inferninho rapids on the left bank of the Roosevelt. There was still a reasonable amount of water covering the parts of the barreiro we couldn't see, and the mud was deep in some spots that we could watch. The hoped-for Tapir didn't materialize, but a big highlight was a herd of 50+ White-lipped Peccaries which arrived in mid-morning to consume clay at the lick while we watched at close range. In late morning as we were finally deciding to leave, the Crimson-bellied Parakeets finally dropped down to the ground for their fill of mud.",NA
"39","S19068713","URN:CornellLabOfOrnithology:EBIRD:OBS263301760","2020-05-30 09:27:42",12309,"species","Kawall's Parrot","Amazona kawalli","60",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Pousada Rio Roosevelt","L2802116","H",-8.494205,-60.9621497,2014-06-10,"07:15:00","obsr412230","S19068713","Traveling","P22","EBIRD_CAN",200,1.5,NA,4,TRUE,NA,FALSE,TRUE,TRUE,NA,"with Karen Bjorndal, Alan Bolten, Semí from the lodge. Birds recorded on the Campinas do Cujubim trail, my first visit to this trail, which I found to be an excellent access to the rocky campina and campinarana habitats. The trail passes through a very short stretch of campinarana before entering a rocky (sandstone) campina which is quite extensive. Worth noting that the Cujubim is said to be too shallow to navigate by August/September, which means the trail would be out of range during the lowest water season.","remarkable numbers, possibly the most I've ever seen of the species at a single site in a morning. Count is exact, but undoubtedly undercounted as some groups may have passed overhead without vocalizing while we looked at other things. Birds were flying out of an area of taller campinarana in the direction of the Cujubim (which they passed over), perhaps en route to the Roosevelt to feed. Consisted of pairs and groups of 4 - 6 birds."
"40","S33489519","URN:CornellLabOfOrnithology:EBIRD:OBS454958744","2021-02-22 10:05:41.298236",12309,"species","Kawall's Parrot","Amazona kawalli","1",NA,NA,NA,"Brazil","BR","Amazonas","BR-AM",NA,NA,NA,NA,NA,NA,"Região de Autazes, Baixo Madeira","L5224018","P",-3.5085379,-58.9737082,2014-12-09,NA,"obsr620877","S33489519","Historical","P62","EBIRD",NA,NA,NA,3,TRUE,NA,FALSE,TRUE,FALSE,NA,NA,NA
